Collection,Lot ,ind,SL (mm),Lateral Line,Above Lateral Line,Below Lateral Line,Transverse,Caudal Peduncle,D1,D2,A1,P1,Dorsals attached?,Spots after R1 of D1,M/F,Locality,Notes,
UT,91.628,18,43,50,5,6,12,16,11,11,6,13,N,N,M,Duck,,
UT,91.628,19,45,48,5,6,12,17,10,11,7,14,N,N,F,Duck,,
UT,91.628,20,44,47,5,6,12,17,11,11,7,15,N,N,F,Duck,,
UT,91.628,21,46,44,4,6,12,17,10,11,7,15,N,N,F,Duck,,
UT,91.628,22,44,51,4,7,12,16,11,11,6,14,N,Y,F,Duck,,
UT,91.628,23,45,47,5,7,13,16,10,11,6,15,N,N,F,Duck,,
UT,91.628,24,45,46,5,6,12,18,11,11,6,15,N,Y,F,Duck,,
UT,91.628,25,46,45,5,7,13,18,11,12,6,13,N,N,F,Duck,,
UT,91.628,26,46,48,5,7,13,17,10,11,6,14,N,N,F,Duck,,
UT,91.628,27,53,51,4,7,13,16,11,12,7,14,Y,N,M,Duck,,
UT,91.628,28,52,53,4,7,13,16,12,13,7,14,Y,N,M,Duck,,
UT,91.628,29,48,49,5,8,15,17,12,12,7,15,Y,Y,M,Duck,,
UT,91.628,30,50,49,4,7,13,16,10,12,7,14,Y,N,M,Duck,,
UT,91.628,31,48,47,4,6,12,15,11,12,7,15,Y,N,M,Duck,,
CUMV,88376,1,47,48,4,7,12,16,11,12,7,14,N,Y,F,Middle TN,,
CUMV,88376,2,55,52,5,8,14,19,11,11,6,15,N,N,F,Middle TN,,
CUMV,88376,3,53,48,4,7,13,18,10,12,8,14,N,N,F,Middle TN,,
CUMV,88376,4,43,45,4,6,11,16,11,11,7,13,N,Y,F,Middle TN,,
CUMV,88376,5,62,48,4,6,12,17,12,12,7,14,Y,N,M,Middle TN,,
MMNS,23751,1,33,47,4,6,11,16,10,11,5,13,N,N,M,Middle TN,,
MMNS,23751,2,37,48,4,6,11,17,11,12,6,13,N,N,M,Middle TN,,
MMNS,23751,3,36,45,4,6,11,17,11,11,6,14,N,N,M,Middle TN,,
MMNS,23751,4,33,49,4,6,12,16,10,12,5,13,N,N,M,Middle TN,,
MMNS,23751,5,36,49,4,6,12,17,10,11,5,14,N,N,F,Middle TN,,
MMNS,23751,6,37,47,4,6,12,17,10,11,5,13,N,N,F,Middle TN,,
KU,31131,1,48,51,5,7,14,18,12,12,8,15,N,N,M,Duck,,
KU,21469,1,40,44,4,8,14,19,10,11,7,13,N,N,F,Lower TN,,
YPM,22778,1,40,52,4,6,11,17,11,13,6,12,N,Y,F,Lower TN,,
YPM,22778,2,44,48,4,8,13,18,11,12,7,14,N,N,M,Lower TN,,
YPM,22778,3,42,49,5,7,13,17,11,11,7,14,N,N,F,Lower TN,,
YPM,22778,4,44,48,5,7,12,16,11,12,7,14,Y,Y,M,Lower TN,,
YPM,22778,5,47,49,4,7,12,16,11,12,7,13,Y,Y,M,Lower TN,,
YPM,22824,1,53,50,4,7,13,19,12,12,7,12,Y,Y,M,Lower TN,,
YPM,22824,2,53,52,4,7,13,19,12,13,7,13,Y,Y,M,Lower TN,,
YPM,22824,3,56,49,4,8,14,16,12,12,7,13,Y,Y,M,Lower TN,,
NCSM,83683,1,48,43,4,6,11,17,11,12,7,12,Y,N,M,Sequatchie,,
NCSM,83683,2,44,46,4,7,12,18,11,11,5,14,N,N,F,Sequatchie,,
NCSM,83683,3,43,44,4,7,11,18,11,12,7,12,N,N,F,Sequatchie,,
AUM,6129,1,43,48,4,6,11,17,10,11,6,14,N,N,F,Lower TN,,
AUM,6129,2,49,51,5,6,12,17,11,11,7,14,Y,Y,M,Lower TN,,
AUM,6129,3,52,48,5,6,12,17,11,11,7,13,Y,N,M,Lower TN,,
AUM,17870,1,45,48,5,8,14,20,12,11,7,14,N,N,F,Middle TN,,
AUM,17870,2,50,49,4,6,12,16,10,12,7,12,Y,N,M,Middle TN,,
YPM,16740,1,38,48,4,6,11,17,12,11,7,14,Y,N,F,Lower TN,,
YPM,16740,2,42,49,4,7,12,18,11,11,7,13,N,N,F,Lower TN,,
YPM,16740,3,38,48,4,6,11,17,11,11,6,13,N,N,F,Lower TN,,
YPM,16740,4,38,48,4,6,12,17,11,12,6,14,Y,Y,M,Lower TN,,
YPM,16740,5,38,50,4,6,11,17,11,11,7,13,Y,N,F,Lower TN,,
YPM,16740,6,39,50,4,6,12,17,11,12,6,14,N,N,F,Lower TN,,
YPM,16740,7,39,50,4,6,11,16,11,12,7,13,Y,N,F,Lower TN,,
YPM,16740,8,42,50,4,7,12,17,12,11,6,13,Y,Y,M,Lower TN,,
YPM,16740,9,48,49,4,7,13,20,11,12,6,14,N,Y,M,Lower TN,,
YPM,16740,10,42,51,4,6,11,17,11,12,8,14,Y,Y,M,Lower TN,,
YPM,16740,11,45,49,4,7,13,18,12,12,7,14,Y,Y,M,Lower TN,,
YPM,16740,12,47,50,4,6,12,17,12,12,7,14,Y,N,M,Lower TN,,
YPM,16740,13,47,49,4,7,13,17,12,12,7,13,Y,N,M,Lower TN,,
YPM,16740,14,45,47,4,7,13,18,10,11,6,13,Y,Y,M,Lower TN,,
YPM,16740,15,47,49,4,7,13,18,11,12,7,15,Y,Y,M,Lower TN,,
YPM,16740,16,47,50,4,7,13,17,12,11,7,12,Y,Y,M,Lower TN,,
YPM,16740,17,47,50,4,6,12,17,12,12,7,14,Y,N,M,Lower TN,,
YPM,16740,18,49,50,4,7,12,16,12,11,6,14,Y,Y,M,Lower TN,,
YPM,16740,19,51,49,4,6,12,16,12,11,7,13,Y,Y,M,Lower TN,,
YPM,16740,20,52,54,4,7,13,17,12,12,7,14,Y,N,M,Lower TN,,
TU,187595,1,42,50,4,7,14,19,11,11,6,14,N,N,F,Elk,,
TU,187595,2,43,50,5,7,13,19,10,10,6,14,N,N,F,Elk,,
TU,187595,3,46,47,6,7,14,18,10,12,7,15,N,Y,F,Elk,,
TU,187595,4,45,45,5,6,12,17,10,11,6,14,N,Y,F,Elk,,
TU,187595,6,43,48,5,6,12,18,10,11,6,15,N,N,F,Elk,,
TU,187595,7,40,44,5,6,12,18,11,11,7,15,N,N,F,Elk,,
TU,187595,8,46,45,5,8,15,18,11,12,6,16,N,N,F,Elk,,
TU,187595,9,46,49,5,7,13,19,11,12,7,13,Y,N,F,Elk,,
TU,187595,10,44,48,5,7,13,18,11,11,6,13,N,N,F,Elk,,
TU,187595,11,54,52,5,7,13,17,10,12,7,13,Y,N,M,Elk,,
TU,187595,12,51,49,4,6,12,18,11,12,7,14,Y,N,M,Elk,,
TU,187595,13,52,51,5,7,14,19,12,13,7,15,Y,N,M,Elk,,
AUM,4124,1,31,45,4,7,11,17,11,10,7,14,N,N,M,Lower TN,,
AUM,3888,1,44,48,4,6,12,16,11,12,6,13,N,N,F,Lower TN,,
OSUM,85126,7,31,50,4,6,12,17,11,11,6,14,N,N,F,Sequatchie,,
OSUM,85126,8,34,47,4,7,13,19,11,11,6,13,N,N,F,Sequatchie,,
OSUM,85126,11,44,46,4,6,12,16,11,11,6,12,Y,Y,F,Sequatchie,,
OSUM,85126,12,39,46,4,6,12,17,11,12,7,13,N,Y,F,Sequatchie,,
OSUM,85126,13,40,43,4,6,11,16,11,11,6,14,N,N,F,Sequatchie,,
OSUM,85126,14,41,50,4,7,13,17,11,12,7,13,N,Y,M,Sequatchie,,
OSUM,85126,15,38,49,4,6,12,17,11,11,7,13,N,Y,M,Sequatchie,,
OSUM,85126,16,39,50,4,6,12,17,12,11,7,12,Y,Y,M,Sequatchie,,
OSUM,85126,18,45,49,4,6,11,16,11,11,6,,N,N,F,Sequatchie,,
YPM,20700,1,39,51,5,7,12,17,10,12,7,14,N,N,F,,,
YPM,20700,2,40,51,4,7,12,18,11,11,7,14,N,N,F,,,
YPM,20700,3,43,51,5,8,14,18,11,11,7,15,N,N,F,,,
YPM,20700,4,46,49,5,7,13,19,11,12,7,14,Y,N,M,,,
YPM,20700,5,44,50,4,7,13,18,11,12,7,14,N,N,M,,,
YPM,20700,6,43,52,5,9,15,17,11,11,6,15,N,N,F,,,
YPM,20700,7,45,54,4,7,13,18,10,12,7,13,N,N,M,,,
OSUM,34358,1,41,53,5,8,15,20,11,11,7,13,N,N,F,,,
OSUM,34358,2,51,52,5,8,14,19,10,12,7,14,N,N,M,,,
OSUM,34358,3,44,50,5,8,14,18,11,10,7,15,N,N,M,,,
OSUM,34358,4,49,52,5,7,14,18,11,11,8,14,Y,N,M,,,
TU,35018,1,28,51,4,7,12,16,11,11,7,14,N,N,F,,,
TU,35018,2,37,45,4,6,12,16,10,12,7,15,N,N,F,,,
TU,35018,3,29,48,4,6,12,15,11,11,6,13,N,N,F,,,
TU,35018,4,30,46,4,6,11,17,11,11,7,13,N,N,F,,,
TU,35018,5,31,50,4,6,11,17,11,11,7,14,N,N,F,,,
TU,35018,6,32,48,4,6,12,17,11,12,7,14,N,N,M,,,
TU,35018,7,33,52,4,6,11,17,11,11,6,13,N,N,F,,,
TU,35018,8,37,45,4,6,11,15,11,11,7,14,Y,N,M,,,
TU,35018,9,32,44,4,6,11,18,11,10,7,13,N,N,F,,,
TU,35018,10,35,46,4,6,12,18,10,11,7,14,N,N,M,,,
TU,35018,11,33,46,4,6,12,16,11,11,7,13,N,N,F,,,
TU,35018,12,34,48,4,6,11,16,11,11,7,14,N,N,F,,,
TU,35018,13,37,48,4,6,11,17,10,11,6,13,N,N,F,,,
TU,35018,14,32,46,4,6,11,16,11,11,7,13,N,N,F,,,
TU,35018,15,42,46,4,6,11,16,11,10,7,13,N,N,F,,,
TU,35018,16,39,47,4,6,11,17,9,11,7,13,N,N,F,,,
TU,35018,17,37,46,4,6,11,16,11,11,7,13,N,N,F,,,
TU,35018,18,40,46,4,6,10,15,11,12,7,13,N,N,F,,,
TU,35018,19,37,49,4,6,11,16,11,12,7,13,Y,Y,F,,,
TU,35018,20,39,47,4,6,11,16,11,11,7,13,N,N,F,,,
TU,35018,21,40,45,4,6,11,15,11,12,7,13,Y,N,M,,,
TU,35018,22,41,53,4,6,11,17,11,11,6,13,Y,N,M,,,
TU,35018,23,40,48,4,6,11,15,11,11,6,13,Y,N,M,,,
TU,35018,24,46,49,4,6,11,18,11,12,6,14,Y,N,F,,,
TU,35018,25,45,46,4,6,11,17,11,11,7,14,N,N,F,,,
TU,35018,26,45,46,4,6,11,16,11,11,7,14,N,N,F,,,
TU,35018,27,48,49,4,7,12,19,10,11,7,13,Y,N,M,,,
TU,35018,28,49,54,5,8,14,17,11,12,7,13,Y,N,M,,,
TU,35018,29,53,46,5,6,11,16,11,11,7,14,Y,N,M,,,
NCSM,83925,1,35,50,5,6,12,17,11,11,6,13,N,N,F,,,
NCSM,83925,2,39,49,5,7,13,18,11,10,7,13,N,N,F,,,
NCSM,83925,3,38,45,5,7,13,18,11,12,7,13,N,N,F,,,
NCSM,83925,4,37,49,5,6,12,18,10,11,7,14,N,N,F,,,
NCSM,83925,5,40,48,5,8,15,18,10,11,6,13,N,N,F,,"""9"" Tag in opercle ",
NCSM,83925,6,40,51,5,8,15,18,11,10,7,15,N,N,F,,,
NCSM,83925,7,40,52,5,7,13,17,12,10,6,13,N,N,F,,"""6"" Tag in opercle",
NCSM,83925,8,39,51,5,7,13,18,11,10,7,15,N,N,F,,,
NCSM,83925,9,38,52,5,7,12,18,10,11,6,13,N,N,F,,,
NCSM,83925,10,39,49,4,6,12,17,11,11,6,14,N,N,F,,"""25"" Tag in opercle",
NCSM,83925,11,39,47,5,7,13,17,11,11,7,13,N,N,F,,"""18"" Tag in opercle",
NCSM,83925,12,40,49,5,8,13,18,11,11,7,14,N,N,F,,"""30"" Tag in opercle",
NCSM,83925,13,37,51,5,7,13,18,10,10,7,15,N,N,F,,,
NCSM,83925,14,45,48,5,7,13,18,12,10,6,13,N,N,F,,,
NCSM,83925,15,41,50,5,7,13,17,11,11,7,15,N,N,F,,"""27"" Tag in opercle",
NCSM,83925,16,40,51,5,7,13,17,12,10,7,14,N,N,F,,"""16"" Tag in opercle",
NCSM,83925,17,37,51,5,8,14,17,11,9,6,14,N,N,F,,"""17"" Tag in opercle",
NCSM,83925,18,37,45,5,7,13,17,11,11,5,14,N,N,F,,,
NCSM,83925,19,39,47,5,7,13,18,11,11,6,15,N,N,F,,,
NCSM,83925,20,40,50,5,7,13,18,10,12,7,14,N,N,M,,,
NCSM,83925,21,40,50,5,7,13,17,11,11,7,14,N,N,F,,"""10"" Tag in opercle",
NCSM,83925,22,39,47,5,7,13,18,10,11,6,14,N,N,F,,"""14"" Tag in opercle",
NCSM,83925,23,44,49,5,8,14,18,11,11,7,14,N,N,M,,"""13"" Tag in opercle",
NCSM,83925,24,43,54,5,7,13,16,11,11,7,14,N,N,F,,"""8"" Tag in opercle",
NCSM,83925,25,44,50,5,8,14,17,11,11,7,13,N,N,F,,"""26"" Tag in opercle",
NCSM,83925,26,44,50,5,6,12,18,11,11,7,13,N,N,F,,"""5"" Tag in opercle",
NCSM,83925,27,45,52,5,7,14,19,11,10,6,15,N,N,F,,"""1"" Tag in opercle",
NCSM,83925,28,43,49,5,8,14,18,11,11,8,14,N,N,F,,"""4"" Tag in opercle",
NCSM,83925,29,45,50,4,8,14,17,11,11,6,14,N,N,F,,"""20"" Tag in opercle",
NCSM,83925,30,46,43,5,6,12,18,11,11,7,14,N,N,F,,"""11"" Tag in opercle",
NCSM,83925,31,47,47,5,8,15,20,11,11,7,13,N,N,M,,,
NCSM,83925,32,45,47,5,8,15,17,9,11,7,14,N,N,M,,"""21"" Tag in opercle",
NCSM,83925,33,46,55,5,8,14,17,10,11,7,14,N,N,F,,"""29"" Tag in opercle",
NCSM,83925,34,46,51,5,8,14,18,11,11,6,14,N,N,F,,"""23"" Tag in opercle",
NCSM,83925,35,48,49,5,7,13,18,11,10,7,13,N,N,F,,"""28"" Tag inopercle",
NCSM,83925,36,47,54,5,8,15,18,10,11,7,14,N,N,F,,"""24"" Tag in opercle",
NCSM,83925,37,48,48,5,7,13,18,11,10,6,14,N,N,F,,"""7"" Tag in opercle",
NCSM,83925,38,47,54,5,8,14,18,12,10,7,14,N,N,M,,"""12"" Tag in opercle",
NCSM,83925,39,52,49,5,7,13,19,11,11,7,13,N,N,M,,"""3"" Tag in opercle",
NCSM,83925,40,52,50,5,7,13,18,11,11,7,13,N,N,M,,"""15"" Tag in opercle",
NCSM,83925,41,53,51,5,7,13,17,11,11,7,13,N,N,M,,"""2"" Tag in opercle",
